8016,1987.00,21.00,77.00,"Astr nutt",10.00
8034,1987.00,23.00,13.00,"Astr nutt",3.00
8038,1987.00,23.00,33.00,"Astr nutt",1.00
8039,1987.00,23.00,35.00,"Astr nutt",2.00
8040,1987.00,23.00,37.00,"Astr nutt",3.00
8041,1987.00,23.00,51.00,"Astr nutt",1.00
8042,1987.00,23.00,53.00,"Astr nutt",9.00
8043,1987.00,23.00,55.00,"Astr nutt",1.00
8044,1987.00,23.00,57.00,"Astr nutt",11.00
8046,1987.00,23.00,73.00,"Astr nutt",9.00
8047,1987.00,23.00,75.00,"Astr nutt",4.00
8048,1987.00,23.00,77.00,"Astr nutt",6.00
8055,1987.00,24.00,35.00,"Astr nutt",1.00
8058,1987.00,24.00,53.00,"Astr nutt",1.00
8060,1987.00,24.00,57.00,"Astr nutt",1.00
8062,1987.00,24.00,73.00,"Astr nutt",1.00
8103,1988.00,3.00,35.00,"Astr nutt",3.00
8107,1988.00,3.00,55.00,"Astr nutt",1.00
8111,1988.00,3.00,75.00,"Astr nutt",5.00
8124,1988.00,4.00,57.00,"Astr nutt",1.00
8164,1988.00,7.00,17.00,"Astr nutt",17.00
8165,1988.00,7.00,31.00,"Astr nutt",6.00
8166,1988.00,7.00,33.00,"Astr nutt",14.00
8167,1988.00,7.00,35.00,"Astr nutt",37.00
8168,1988.00,7.00,37.00,"Astr nutt",2.00
8169,1988.00,7.00,51.00,"Astr nutt",2.00
8170,1988.00,7.00,53.00,"Astr nutt",3.00
8171,1988.00,7.00,55.00,"Astr nutt",2.00
8172,1988.00,7.00,57.00,"Astr nutt",18.00
8174,1988.00,7.00,73.00,"Astr nutt",2.00
8210,1988.00,10.00,13.00,"Astr nutt",1.00
8214,1988.00,10.00,33.00,"Astr nutt",1.00
8215,1988.00,10.00,35.00,"Astr nutt",4.00
8216,1988.00,10.00,37.00,"Astr nutt",21.00
8219,1988.00,10.00,55.00,"Astr nutt",1.00
8221,1988.00,10.00,71.00,"Astr nutt",5.00
8222,1988.00,10.00,73.00,"Astr nutt",2.00
8248,1988.00,12.00,37.00,"Astr nutt",1.00
8275,1988.00,14.00,15.00,"Astr nutt",1.00
8289,1988.00,15.00,11.00,"Astr nutt",4.00
8290,1988.00,15.00,13.00,"Astr nutt",2.00
8292,1988.00,15.00,17.00,"Astr nutt",26.00
8293,1988.00,15.00,31.00,"Astr nutt",1.00
8296,1988.00,15.00,37.00,"Astr nutt",4.00
8298,1988.00,15.00,53.00,"Astr nutt",1.00
8301,1988.00,15.00,71.00,"Astr nutt",2.00
8304,1988.00,15.00,77.00,"Astr nutt",41.00
8305,1988.00,16.00,11.00,"Astr nutt",1.00
8306,1988.00,16.00,13.00,"Astr nutt",12.00
8307,1988.00,16.00,15.00,"Astr nutt",43.00
8308,1988.00,16.00,17.00,"Astr nutt",1.00
8309,1988.00,16.00,31.00,"Astr nutt",1.00
8310,1988.00,16.00,33.00,"Astr nutt",5.00
8311,1988.00,16.00,35.00,"Astr nutt",9.00
8312,1988.00,16.00,37.00,"Astr nutt",11.00
8313,1988.00,16.00,51.00,"Astr nutt",1.00
8314,1988.00,16.00,53.00,"Astr nutt",22.00
8315,1988.00,16.00,55.00,"Astr nutt",6.00
8321,1988.00,17.00,11.00,"Astr nutt",1.00
8323,1988.00,17.00,15.00,"Astr nutt",4.00
8324,1988.00,17.00,17.00,"Astr nutt",7.00
8356,1988.00,19.00,17.00,"Astr nutt",66.00
8368,1988.00,19.00,77.00,"Astr nutt",2.00
8388,1988.00,21.00,17.00,"Astr nutt",7.00
8389,1988.00,21.00,31.00,"Astr nutt",20.00
8390,1988.00,21.00,33.00,"Astr nutt",4.00
8391,1988.00,21.00,35.00,"Astr nutt",1.00
8392,1988.00,21.00,37.00,"Astr nutt",10.00
8393,1988.00,21.00,51.00,"Astr nutt",2.00
8395,1988.00,21.00,55.00,"Astr nutt",9.00
8396,1988.00,21.00,57.00,"Astr nutt",18.00
8419,1988.00,23.00,15.00,"Astr nutt",1.00
8420,1988.00,23.00,17.00,"Astr nutt",1.00
