year,plot,stake,species,abundance
1990,8,51,Astr allo,1
1990,13,35,Astr allo,1
1990,13,37,Astr allo,1
1990,15,31,Astr allo,1
1990,19,15,Astr allo,1
1990,20,33,Astr allo,1
1990,22,17,Astr allo,1
1991,4,15,Astr allo,1
1991,4,33,Astr allo,1
1991,5,13,Astr allo,1
1991,5,35,Astr allo,1
1991,5,57,Astr allo,1
1991,5,73,Astr allo,1
1991,6,77,Astr allo,1
1991,7,17,Astr allo,1
1991,9,77,Astr allo,1
1991,13,13,Astr allo,1
1991,14,13,Astr allo,1
1991,15,17,Astr allo,1
1991,19,35,Astr allo,1
1991,21,15,Astr allo,1
1992,1,15,Astr allo,1
1992,1,35,Astr allo,1
1992,2,35,Astr allo,1
1992,4,17,Astr allo,1
1992,4,57,Astr allo,1
1992,11,57,Astr allo,1
1992,12,75,Astr allo,1
1992,24,51,Astr allo,1
1993,1,31,Astr allo,1
1993,1,53,Astr allo,1
1993,1,73,Astr allo,1
1993,2,31,Astr allo,1
1993,2,35,Astr allo,1
1993,4,33,Astr allo,1
1993,4,51,Astr allo,1
1993,4,71,Astr allo,1
1993,4,73,Astr allo,1
1993,6,31,Astr allo,1
1993,6,73,Astr allo,1
1993,6,77,Astr allo,1
1993,7,11,Astr allo,1
1993,8,11,Astr allo,1
1993,8,35,Astr allo,1
1993,8,55,Astr allo,1
1993,8,57,Astr allo,1
1993,9,55,Astr allo,1
1993,11,33,Astr allo,1
1993,11,57,Astr allo,1
1993,12,71,Astr allo,1
1993,13,33,Astr allo,1
1993,13,51,Astr allo,1
1993,15,75,Astr allo,1
1993,18,35,Astr allo,1
1993,19,15,Astr allo,1
1993,19,37,Astr allo,1
1993,20,35,Astr allo,1
1993,20,55,Astr allo,1
1993,22,31,Astr allo,1
1993,23,77,Astr allo,1
1994,1,17,Astr allo,1
1994,1,35,Astr allo,1
1994,1,73,Astr allo,1
1995,1,11,Astr allo,1
1995,1,13,Astr allo,1
1995,1,17,Astr allo,1
1995,1,57,Astr allo,1
1995,1,77,Astr allo,1
1995,2,13,Astr allo,1
1995,2,15,Astr allo,1
1995,4,11,Astr allo,1
1995,4,33,Astr allo,1
1995,5,17,Astr allo,1
1995,5,37,Astr allo,1
1995,5,77,Astr allo,1
1995,6,31,Astr allo,1
1995,6,33,Astr allo,1
1995,6,35,Astr allo,1
1995,6,71,Astr allo,1
1995,6,77,Astr allo,1
1995,8,31,Astr allo,1
1995,10,51,Astr allo,1
1995,10,57,Astr allo,1
1995,12,73,Astr allo,1
1995,13,11,Astr allo,1
1995,13,33,Astr allo,1
1995,15,11,Astr allo,1
1995,18,37,Astr allo,1
1995,18,51,Astr allo,1
1995,19,17,Astr allo,1
1995,20,13,Astr allo,1
1995,20,35,Astr allo,1
1995,23,17,Astr allo,1
1995,24,31,Astr allo,1
1995,24,35,Astr allo,1
1997,1,33,Astr allo,1
1997,2,13,Astr allo,1
1997,9,51,Astr allo,1
1997,22,37,Astr allo,1
1997,22,71,Astr allo,1
1998,3,77,Astr allo,1
1998,4,11,Astr allo,1
1998,4,17,Astr allo,1
1998,13,57,Astr allo,1
2001,1,17,Astr allo,1
2001,1,37,Astr allo,1
2001,2,17,Astr allo,1
2001,2,51,Astr allo,1
2001,2,57,Astr allo,1
2001,3,53,Astr allo,1
2001,4,37,Astr allo,1
2001,6,71,Astr allo,1
2001,8,53,Astr allo,1
2001,8,73,Astr allo,1
2001,12,11,Astr allo,1
2001,18,33,Astr allo,1
2001,18,71,Astr allo,1
2001,20,37,Astr allo,1
2001,20,73,Astr allo,1
2001,22,55,Astr allo,1
2001,22,73,Astr allo,1
2001,24,17,Astr allo,1
2004,1,77,Astr allo,1
2004,2,35,Astr allo,1
2004,11,37,Astr allo,1
2004,22,73,Astr allo,1
2005,1,33,Astr allo,1
2005,2,11,Astr allo,1
2005,2,35,Astr allo,1
2005,5,73,Astr allo,1
2005,9,11,Astr allo,1
2005,9,35,Astr allo,1
2005,9,37,Astr allo,1
2005,12,35,Astr allo,1
2003,8,73,Astr allo,1
2007,2,51,Astr allo,1
2007,5,73,Astr allo,1
2007,10,53,Astr allo,1
2014,1,31,astr allo,1
1981,4,55,Astr allo,2
1982,4,55,Astr allo,2
1982,23,55,Astr allo,2
1983,6,35,Astr allo,2
1983,6,37,Astr allo,2
1984,1,13,Astr allo,2
1984,2,11,Astr allo,2
1984,2,77,Astr allo,2
1984,3,17,Astr allo,2
1984,4,53,Astr allo,2
1984,6,13,Astr allo,2
1984,6,31,Astr allo,2
1984,6,57,Astr allo,2
1984,6,73,Astr allo,2
1984,8,13,Astr allo,2
1984,8,17,Astr allo,2
1984,9,15,Astr allo,2
1984,10,55,Astr allo,2
1984,10,57,Astr allo,2
1984,11,75,Astr allo,2
1984,13,17,Astr allo,2
1984,13,31,Astr allo,2
1984,14,11,Astr allo,2
1984,14,71,Astr allo,2
1984,16,51,Astr allo,2
1984,19,37,Astr allo,2
1984,21,31,Astr allo,2
1984,21,35,Astr allo,2
1985,2,57,Astr allo,2
1985,2,71,Astr allo,2
1985,5,15,Astr allo,2
1985,19,17,Astr allo,2
1986,3,13,Astr allo,2
1986,5,17,Astr allo,2
1986,8,75,Astr allo,2
1986,21,71,Astr allo,2
1987,1,15,Astr allo,2
1987,3,71,Astr allo,2
1987,6,31,Astr allo,2
1987,13,17,Astr allo,2
1988,19,53,Astr allo,2
1990,5,57,Astr allo,2
1990,22,71,Astr allo,2
1991,19,53,Astr allo,2
1991,20,53,Astr allo,2
1992,4,15,Astr allo,2
1992,4,53,Astr allo,2
1993,6,15,Astr allo,2
1993,8,17,Astr allo,2
1993,8,73,Astr allo,2
1993,9,33,Astr allo,2
1993,13,13,Astr allo,2
1993,14,73,Astr allo,2
1993,20,17,Astr allo,2
1993,22,53,Astr allo,2
1994,1,11,Astr allo,2
1995,1,37,Astr allo,2
1995,7,77,Astr allo,2
1995,8,71,Astr allo,2
1995,10,11,Astr allo,2
1995,18,11,Astr allo,2
1995,20,55,Astr allo,2
