"period","mo","dy","yr","date","plots"
177,10,18,1992,1992-10-18,24
178,12,21,1992,1992-12-21,24
179,1,23,1993,1993-01-23,24
180,2,19,1993,1993-02-19,24
181,3,17,1993,1993-03-17,24
182,4,23,1993,1993-04-23,24
183,5,22,1993,1993-05-22,24
184,6,18,1993,1993-06-18,24
185,7,14,1993,1993-07-14,24
186,8,19,1993,1993-08-19,24
187,9,16,1993,1993-09-16,24
188,10,15,1993,1993-10-15,24
189,11,13,1993,1993-11-13,24
190,12,14,1993,1993-12-14,24
191,2,1,1994,1994-02-01,24
192,2,20,1994,1994-02-20,24
193,3,11,1994,1994-03-11,24
194,4,10,1994,1994-04-10,24
195,5,18,1994,1994-05-18,24
196,6,14,1994,1994-06-14,24
197,7,8,1994,1994-07-08,24
198,8,17,1994,1994-08-17,24
199,9,6,1994,1994-09-06,24
200,10,12,1994,1994-10-12,24
201,11,1,1994,1994-11-01,24
202,12,4,1994,1994-12-04,24
203,1,11,1995,1995-01-11,24
204,2,4,1995,1995-02-04,24
205,3,4,1995,1995-03-04,24
206,4,1,1995,1995-04-01,24
207,4,29,1995,1995-04-29,24
208,6,7,1995,1995-06-07,24
209,6,27,1995,1995-06-27,24
210,7,20,1995,1995-07-20,24
211,8,26,1995,1995-08-26,24
212,9,23,1995,1995-09-23,24
213,10,28,1995,1995-10-28,24
214,12,2,1995,1995-12-02,24
215,12,21,1995,1995-12-21,24
216,1,27,1996,1996-01-27,24
217,2,24,1996,1996-02-24,24
218,3,23,1996,1996-03-23,24
219,4,14,1996,1996-04-14,24
220,5,23,1996,1996-05-23,24
221,6,13,1996,1996-06-13,24
222,7,20,1996,1996-07-20,24
223,8,14,1996,1996-08-14,24
224,9,21,1996,1996-09-21,24
225,10,12,1996,1996-10-12,24
226,11,16,1996,1996-11-16,24
227,12,18,1996,1996-12-18,24
228,2,8,1997,1997-02-08,24
229,3,15,1997,1997-03-15,24
230,4,12,1997,1997-04-12,24
231,5,10,1997,1997-05-10,24
232,6,9,1997,1997-06-09,24
233,7,9,1997,1997-07-09,24
234,7,29,1997,1997-07-29,24
235,9,27,1997,1997-09-27,24
236,10,25,1997,1997-10-25,24
237,11,22,1997,1997-11-22,24
